,Name,Team,FGM,FGA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,1-19AV,20-29AV,30-39AV,40-49AV,50+AV,Total Added Value
69,Matt Araiza,SDSU,10,14,0,0,5,5,3,4,2,4,0,1,0.0,1.870000000000001,-0.2919999999999998,-1.7160000000000002,-1.417,-1.554999999999999
70,Matt Mercurio,SJSU,9,10,0,0,4,4,5,6,0,0,0,0,0.0,1.4960000000000004,1.0620000000000012,0.0,0.0,2.5580000000000016
71,Chris Naggar,SMU,17,21,0,0,6,6,6,6,5,7,0,2,0.0,2.2439999999999998,4.062000000000001,1.4969999999999999,-2.834,4.969000000000001
72,Jet Toner,STAN,7,11,0,0,2,3,2,3,3,5,0,0,0.0,-1.8780000000000001,-0.9689999999999994,-0.6449999999999996,0.0,-3.491999999999999
73,Seth Small,TAMU,9,11,1,1,5,6,1,2,2,2,0,0,0.0,-0.7560000000000002,-1.646,2.142,0.0,-0.26000000000000023
74,Griffin Kell,TCU,12,17,0,0,3,3,7,8,2,6,0,0,0.0,1.1219999999999999,2.4160000000000004,-5.574,0.0,-2.0359999999999996
75,Rory Bell,TEM,5,5,0,0,4,4,1,1,0,0,0,0,0.0,1.4960000000000004,0.677,0.0,0.0,2.1730000000000005
76,Brent Cimaglia,TENN,5,9,0,0,1,1,1,3,2,3,1,2,0.0,0.3740000000000001,-3.9689999999999994,0.21300000000000008,0.16599999999999993,-3.2159999999999993
77,Cameron Dicker,TEX,13,18,0,0,6,7,3,5,4,7,0,1,0.0,-0.3819999999999979,-2.615,-1.5030000000000001,-1.417,-5.916999999999998
78,Zack Long,TLSA,10,13,0,0,4,4,4,6,2,3,0,0,0.0,1.4960000000000004,-1.9379999999999988,0.21300000000000008,0.0,-0.22899999999999832
79,Evan Legassey,TROY,13,21,0,0,5,8,3,5,5,6,0,2,0.0,-6.007999999999999,-2.615,3.426,-2.834,-8.030999999999999
80,Jonathan Garibay,TTU,8,11,0,0,3,3,1,1,4,7,0,0,0.0,1.1219999999999999,0.677,-1.5030000000000001,0.0,0.2959999999999998
81,Merek Glover,TULN,9,15,0,0,3,4,3,4,3,5,0,2,0.0,-1.5039999999999996,-0.2919999999999998,-0.6449999999999996,-2.834,-5.274999999999999
82,Seth Keller,TXST,8,9,0,0,1,1,2,3,5,5,0,0,0.0,0.3740000000000001,-0.9689999999999994,5.355,0.0,4.760000000000002
83,Matt Quinn,UAB,11,12,0,0,2,2,4,5,5,5,0,0,0.0,0.7480000000000002,0.3849999999999998,5.355,0.0,6.488
84,Daniel Obarski,UCF,12,17,0,0,6,8,6,7,0,2,0,0,0.0,-3.007999999999999,1.7390000000000008,-3.858,0.0,-5.126999999999999
85,Nicholas Barr-Mira,UCLA,6,7,0,0,0,0,4,5,2,2,0,0,0.0,0.0,0.3849999999999998,2.142,0.0,2.5269999999999997
86,Jack Podlesny,UGA,10,13,0,0,2,2,4,5,2,4,2,2,0.0,0.7480000000000002,0.3849999999999998,-1.7160000000000002,3.166,2.5829999999999997
87,Matt Ruffolo,UK,9,11,0,0,3,3,4,4,1,3,1,1,0.0,1.1219999999999999,2.708,-2.787,1.583,2.6260000000000003
88,James Turner,UL,13,15,0,0,3,3,4,4,5,5,1,3,0.0,1.1219999999999999,2.708,5.355,-1.2510000000000003,7.934
89,Davis Hughes,ULM,2,5,0,0,1,2,1,3,0,0,0,0,0.0,-2.252,-3.9689999999999994,0.0,0.0,-6.220999999999999
90,Grayson Atkins,UNC,10,16,0,0,3,4,4,5,2,4,1,3,0.0,-1.5039999999999996,0.3849999999999998,-1.7160000000000002,-1.2510000000000003,-4.086
91,John Richardson,UNI,7,9,0,0,1,1,1,1,5,7,0,0,0.0,0.3740000000000001,0.677,1.4969999999999999,0.0,2.548
92,Daniel Gutierrez,UNLV,5,6,0,0,3,3,2,2,0,1,0,0,0.0,1.1219999999999999,1.354,-1.929,0.0,0.5469999999999999
93,Ethan Mooney,UNT,7,14,0,0,3,3,1,3,3,7,0,1,0.0,1.1219999999999999,-3.9689999999999994,-4.503,-1.417,-8.767
94,Diego Guajardo,USA,13,17,0,0,3,3,5,5,3,7,2,2,0.0,1.1219999999999999,3.385,-4.503,3.166,3.1699999999999995
95,Parker Lewis,USC,9,13,0,0,3,4,2,3,4,6,0,0,0.0,-1.5039999999999996,-0.9689999999999994,0.42600000000000016,0.0,-2.046999999999999
96,Briggs Bourgeois,USM,12,16,0,0,4,5,5,7,3,4,0,0,0.0,-1.129999999999999,-1.2609999999999992,1.2839999999999998,0.0,-1.1069999999999984
97,Jadon Redding,UTAH,8,8,0,0,2,2,3,3,3,3,0,0,0.0,0.7480000000000002,2.0310000000000006,3.213,0.0,5.992000000000001
98,Gavin Baechle,UTEP,5,9,0,0,3,4,0,1,2,3,0,1,0.0,-1.5039999999999996,-2.323,0.21300000000000008,-1.417,-5.031
99,Hunter Duplessis,UTSA,16,18,0,0,6,6,5,5,4,5,1,2,0.0,2.2439999999999998,3.385,2.3550000000000004,0.16599999999999993,8.15
100,Brian Delaney,UVA,10,13,0,0,5,5,4,7,1,1,0,0,0.0,1.870000000000001,-4.260999999999999,1.071,0.0,-1.3199999999999983
101,Pierson Cooke,VAN,4,9,0,0,1,3,2,2,1,2,0,2,0.0,-4.878,1.354,-0.8580000000000001,-2.834,-7.215999999999999
102,Brian Johnson,VT,20,26,1,1,4,4,4,5,8,9,3,7,0.0,1.4960000000000004,0.3849999999999998,6.638999999999999,-0.9190000000000005,7.600999999999999
103,Nick Sciba,WAKE,14,17,0,0,2,3,5,6,7,8,0,0,0.0,-1.8780000000000001,1.0620000000000012,5.568,0.0,4.752000000000001
104,Peyton Henry,WASH,6,9,0,0,5,6,0,0,1,3,0,0,0.0,-0.7560000000000002,0.0,-2.787,0.0,-3.543
105,Collin Larsh,WIS,5,7,1,1,2,2,2,2,0,2,0,0,0.0,0.7480000000000002,1.354,-3.858,0.0,-1.7559999999999998
106,Brayden Narveson,WKU,13,14,0,0,1,1,5,5,6,6,1,2,0.0,0.3740000000000001,3.385,6.426,0.16599999999999993,10.351
107,Thiago Kapps,WMU,4,7,0,0,1,2,1,2,1,2,1,1,0.0,-2.252,-1.646,-0.8580000000000001,1.583,-3.173
108,Evan Staley,WVU,6,9,1,1,0,1,3,3,2,3,0,1,0.0,-2.626,2.0310000000000006,0.21300000000000008,-1.417,-1.7989999999999993
109,John Hoyland,WYO,13,14,0,0,5,5,6,7,2,2,0,0,0.0,1.870000000000001,1.7390000000000008,2.142,0.0,5.751000000000001
